invoice_id,client_id,issue_date,due_date,amount,currency,status
INV-001,C001,2023-11-01,2023-12-01,15750.00,USD,paid
INV-002,C001,2023-12-15,2024-01-14,8200.00,USD,paid
INV-003,C001,2024-01-15,2024-02-14,5000.00,USD,sent
INV-004,C001,2024-02-01,2024-03-02,3200.00,USD,paid
INV-005,C001,2024-03-22,2024-04-21,847.50,USD,cancelled
INV-006,C002,2023-10-20,2023-11-19,22400.00,GBP,paid
INV-007,C002,2024-02-10,2024-03-11,8750.00,GBP,overdue
INV-008,C002,2024-03-01,2024-03-31,1200.00,GBP,sent
INV-009,C002,2024-03-25,2024-04-24,5625.50,GBP,draft
INV-010,C003,2023-12-01,2023-12-31,45000.00,SEK,paid
INV-011,C003,2024-01-20,2024-02-19,9500.00,SEK,paid
INV-012,C003,2024-03-15,2024-04-14,6000.00,SEK,draft
INV-013,C004,2024-02-20,2024-03-21,2100.00,JPY,overdue
INV-014,C004,2024-03-10,2024-04-09,4800.00,JPY,paid
INV-015,C004,2024-04-01,2024-04-30,380000.00,JPY,sent
INV-016,C005,2024-02-14,2024-03-15,12400.00,AUD,paid
INV-017,C005,2024-03-28,2024-04-27,3150.00,AUD,sent
INV-018,C005,2024-04-05,2024-05-05,7890.75,AUD,overdue
INV-019,C006,2024-01-10,2024-02-09,6200.00,EUR,paid
INV-020,C006,2024-02-20,2024-03-21,4100.00,EUR,overdue
INV-021,C006,2024-03-30,2024-04-29,9350.25,EUR,sent
INV-022,C006,2024-04-10,2024-05-10,0.00,EUR,draft
INV-023,C007,2024-01-25,2024-02-24,18500.00,CAD,paid
INV-024,C007,2024-03-12,2024-04-11,2750.00,CAD,sent
INV-025,C008,2023-11-15,2023-12-15,8200.00,SGD,cancelled
INV-026,C008,2024-02-08,2024-03-09,14750.00,SGD,paid
INV-027,C009,2024-01-05,2024-02-04,32100.00,EUR,overdue
INV-028,C009,2024-03-20,2024-04-19,5400.00,EUR,sent
INV-029,C010,2024-02-28,2024-03-29,11200.00,USD,paid
INV-030,C010,2024-04-01,2024-04-30,4300.00,USD,sent
