payment_id,invoice_id,paid_at,amount_paid
PMT-001,INV-001,2023-11-20 09:14:33,5000.00
PMT-002,INV-001,2023-12-05 14:52:07,5000.00
PMT-003,INV-001,2023-12-15 11:30:00,5750.00
PMT-004,INV-002,2024-01-10 10:05:44,4000.00
PMT-005,INV-002,2024-01-25 16:20:18,4200.00
PMT-006,INV-004,2024-02-28 10:00:00,3200.00
PMT-007,INV-006,2023-11-10 08:45:00,22400.00
PMT-008,INV-007,2024-03-05 14:30:00,5000.00
PMT-009,INV-010,2023-12-05 09:00:00,10000.00
PMT-010,INV-010,2023-12-12 13:17:52,15000.00
PMT-011,INV-010,2023-12-20 17:04:11,12000.00
PMT-012,INV-010,2023-12-28 11:55:29,8000.00
PMT-013,INV-011,2024-02-15 09:15:00,9500.00
PMT-014,INV-013,2024-03-15 11:45:00,1000.00
PMT-015,INV-014,2024-03-28 13:10:00,5100.00
PMT-016,INV-016,2024-03-01 08:22:00,6000.00
PMT-017,INV-016,2024-03-18 16:05:44,6400.00
PMT-018,INV-019,2024-02-01 12:00:00,6200.00
PMT-019,INV-020,2024-03-10 10:30:00,500.00
PMT-020,INV-023,2024-02-10 09:00:00,10000.00
PMT-021,INV-023,2024-02-20 15:33:00,8500.00
PMT-022,INV-025,2023-11-25 10:10:10,3000.00
PMT-023,INV-026,2024-03-01 14:00:00,14750.00
PMT-024,INV-027,2024-01-20 08:05:00,10000.00
PMT-025,INV-029,2024-03-05 09:45:00,3000.00
PMT-026,INV-029,2024-03-15 11:20:00,4000.00
PMT-027,INV-029,2024-03-25 17:58:31,4200.00
